"id","race","sex","age","juv_fel_count","juv_misd_count","priors_count","charge_degree","compas_risk_score","two_year_recid","compas_binary_class","random_split"
222,"white",1,43,0,0,0,0,1,0,0,"train"
223,"black",0,38,1,1,9,1,8,1,1,"test"
224,"black",0,32,0,0,11,1,6,1,1,"train"
225,"black",0,33,0,0,8,0,5,1,1,"train"
227,"black",1,31,0,0,0,1,3,1,0,"train"
228,"black",1,33,0,0,7,1,9,1,1,"train"
229,"black",0,27,0,0,2,1,9,1,1,"test"
231,"black",1,20,0,0,0,1,6,0,1,"test"
232,"white",1,26,0,0,0,0,6,0,1,"train"
234,"black",1,61,0,0,1,1,1,1,0,"train"
235,"other",0,52,0,0,13,1,7,1,1,"train"
236,"hispanic",0,63,0,0,1,1,1,0,0,"train"
238,"black",1,32,0,0,4,1,10,1,1,"train"
239,"hispanic",0,29,0,0,1,1,4,0,0,"train"
240,"other",1,46,0,0,1,1,2,0,0,"train"
241,"black",1,26,0,0,2,0,4,1,0,"train"
242,"black",0,55,0,0,3,0,1,0,0,"train"
243,"white",0,39,1,0,1,0,4,0,0,"train"
244,"white",1,30,0,0,3,1,7,1,1,"train"
245,"black",0,30,0,0,1,1,7,0,1,"train"
246,"white",0,48,0,0,2,0,2,0,0,"train"
248,"black",0,22,0,0,1,1,2,0,0,"train"
249,"white",0,46,0,0,6,1,1,1,0,"train"
251,"white",1,49,0,0,6,1,6,0,1,"test"
252,"white",0,31,0,0,0,1,5,0,1,"train"
254,"black",0,25,0,0,1,0,2,1,0,"train"
257,"hispanic",0,23,0,0,0,1,3,0,0,"train"
258,"black",1,32,0,0,5,1,7,0,1,"train"
259,"hispanic",0,52,0,0,2,0,1,0,0,"train"
260,"black",0,62,0,0,8,1,4,0,0,"test"
262,"white",1,37,0,0,6,1,10,0,1,"test"
263,"white",0,55,0,0,1,1,1,0,0,"test"
264,"hispanic",0,31,0,0,8,1,9,1,1,"train"
265,"black",0,28,0,0,6,0,6,1,1,"train"
266,"hispanic",0,54,0,0,2,1,1,0,0,"train"
267,"hispanic",0,58,0,0,0,1,2,0,0,"test"
268,"white",0,78,0,0,1,0,1,1,0,"train"
269,"white",0,56,0,0,0,1,1,0,0,"test"
271,"other",0,24,0,0,0,1,2,0,0,"train"
272,"black",0,38,2,2,22,1,8,1,1,"test"
275,"black",0,22,0,0,1,1,5,1,1,"train"
277,"black",0,47,0,0,23,0,8,1,1,"train"
278,"black",0,23,0,0,0,0,2,1,0,"train"
279,"hispanic",0,57,0,0,1,1,1,0,0,"train"
280,"white",1,38,0,0,2,1,5,1,1,"train"
281,"black",0,66,0,0,3,1,1,0,0,"test"
282,"white",0,45,0,0,8,0,4,1,0,"test"
285,"other",1,52,0,0,0,0,3,1,0,"train"
286,"black",0,32,0,0,13,1,10,1,1,"train"
287,"black",0,37,0,0,2,0,9,1,1,"test"
288,"white",0,39,0,0,0,1,4,1,0,"train"
289,"black",0,26,0,0,9,1,9,1,1,"test"
291,"white",0,45,0,0,2,1,3,0,0,"train"
293,"black",0,23,0,0,0,1,3,1,0,"train"
294,"black",0,34,0,0,2,0,2,0,0,"train"
297,"black",1,23,0,0,1,0,4,0,0,"train"
298,"other",0,36,0,0,2,0,3,1,0,"train"
299,"white",0,50,0,0,1,1,1,0,0,"train"
300,"white",1,37,0,0,0,0,3,0,0,"test"
301,"white",0,44,0,0,4,0,4,0,0,"train"
302,"black",1,35,0,1,23,1,9,1,1,"train"
304,"other",0,24,0,0,5,1,5,1,1,"train"
306,"black",0,26,0,0,2,1,10,1,1,"test"
308,"black",0,27,0,0,0,0,2,0,0,"train"
310,"black",1,28,0,0,0,1,8,0,1,"train"
311,"white",0,43,0,0,11,1,5,1,1,"train"
313,"white",1,28,0,0,7,1,9,1,1,"train"
315,"black",0,38,0,0,2,1,1,0,0,"train"
316,"white",0,27,0,0,2,0,4,0,0,"train"
317,"black",1,28,0,0,1,1,9,0,1,"train"
319,"white",0,56,0,0,7,1,1,1,0,"test"
320,"black",0,38,0,0,15,1,9,0,1,"train"
321,"black",0,28,0,0,2,0,5,0,1,"test"
322,"black",0,45,0,0,3,1,6,0,1,"train"
323,"hispanic",0,28,0,0,0,0,2,0,0,"train"
325,"white",0,61,0,0,1,1,1,0,0,"test"
326,"white",1,51,0,0,0,0,1,1,0,"test"
327,"white",0,51,0,0,0,0,2,0,0,"train"
329,"other",0,36,0,0,1,0,1,1,0,"test"
330,"black",0,48,0,0,0,1,1,0,0,"test"
331,"white",0,37,0,0,4,1,3,1,0,"test"
332,"black",1,30,0,0,2,1,7,0,1,"train"
333,"black",1,41,0,0,5,0,6,0,1,"train"
334,"black",0,27,0,0,11,1,10,1,1,"train"
335,"black",0,37,0,0,0,0,1,0,0,"train"
336,"other",0,33,0,0,4,1,4,1,0,"test"
337,"black",0,54,0,0,11,1,9,0,1,"test"
338,"black",0,23,0,0,2,1,9,0,1,"train"
341,"black",1,26,0,0,2,1,4,1,0,"train"
344,"black",0,41,0,0,0,0,1,0,0,"train"
345,"white",0,52,0,0,0,1,1,0,0,"train"
347,"white",0,43,0,0,13,1,4,1,0,"train"
348,"black",0,52,0,0,0,1,4,0,0,"train"
349,"white",0,28,0,0,1,1,1,0,0,"train"
350,"black",0,30,0,0,11,0,9,1,1,"test"
351,"white",0,28,0,0,1,1,5,0,1,"train"
354,"black",0,22,0,0,0,1,4,0,0,"test"
355,"black",0,30,0,0,4,1,2,0,0,"train"
356,"hispanic",0,25,0,0,4,1,4,0,0,"train"
357,"white",0,31,0,0,0,1,8,1,1,"train"
358,"white",0,37,0,0,0,1,2,1,0,"train"
359,"black",0,32,0,1,14,1,9,0,1,"train"
360,"black",0,26,0,1,4,0,8,0,1,"test"
361,"white",0,53,0,0,1,0,1,0,0,"train"
362,"black",0,28,0,0,25,1,8,1,1,"test"
363,"white",0,44,0,0,8,0,5,1,1,"test"
364,"black",0,25,0,0,0,1,3,0,0,"test"
366,"white",0,22,0,0,1,0,8,1,1,"train"
369,"other",1,37,0,0,0,0,1,0,0,"train"
372,"other",1,40,0,0,3,1,2,0,0,"train"
374,"white",0,36,0,0,8,1,7,1,1,"train"
375,"white",0,30,0,0,4,1,2,0,0,"train"
376,"black",0,22,0,0,3,0,9,1,1,"test"
377,"white",1,24,0,0,1,0,7,1,1,"train"
378,"black",0,27,0,0,3,0,2,1,0,"train"
379,"hispanic",1,31,0,0,0,0,2,0,0,"train"
381,"hispanic",0,23,0,0,1,1,6,1,1,"test"
382,"white",1,23,0,0,5,1,5,1,1,"test"
383,"hispanic",0,24,0,0,0,0,8,0,1,"test"
384,"black",0,29,0,0,1,0,3,0,0,"test"
385,"black",0,20,0,0,1,1,8,1,1,"test"
386,"black",0,30,0,0,2,1,6,1,1,"train"
389,"other",0,39,0,0,0,1,1,0,0,"train"
390,"black",0,27,0,0,4,1,4,0,0,"train"
392,"white",0,31,0,0,2,0,4,0,0,"train"
393,"black",1,37,0,0,2,1,1,0,0,"train"
396,"black",0,20,0,0,0,1,8,0,1,"train"
398,"hispanic",0,22,0,0,0,1,7,0,1,"test"
399,"black",1,52,0,0,0,1,1,0,0,"train"
400,"black",1,23,0,0,0,1,4,1,0,"train"
402,"black",1,48,0,0,0,1,2,0,0,"train"
403,"black",0,66,0,0,8,1,6,1,1,"test"
404,"white",0,25,0,0,0,1,5,0,1,"test"
405,"white",0,27,0,0,0,1,6,1,1,"test"
406,"black",0,30,0,0,11,1,7,1,1,"train"
407,"black",0,22,0,1,3,0,10,1,1,"train"
408,"white",1,22,0,0,1,1,3,0,0,"train"
409,"black",0,35,0,0,2,1,10,0,1,"test"
410,"white",0,32,0,0,2,1,4,0,0,"train"
411,"black",1,41,0,0,2,0,3,0,0,"train"
414,"other",1,25,0,0,0,1,2,0,0,"train"
415,"black",0,44,0,0,24,0,7,0,1,"train"
416,"black",0,52,0,0,3,1,6,1,1,"train"
417,"black",0,43,0,0,0,1,1,0,0,"train"
423,"white",0,37,0,0,3,1,1,0,0,"train"
424,"black",0,28,0,0,3,0,4,1,0,"train"
425,"white",0,70,0,0,1,0,1,0,0,"test"
426,"white",0,54,0,0,6,1,2,1,0,"train"
428,"white",0,46,0,0,3,1,4,0,0,"train"
429,"black",0,21,0,0,0,0,9,1,1,"train"
430,"black",0,26,0,0,1,0,8,1,1,"test"
431,"hispanic",0,38,0,0,3,1,1,1,0,"test"
432,"white",0,34,0,0,5,0,4,0,0,"test"
434,"black",0,19,0,0,1,1,5,1,1,"test"
435,"black",0,34,0,0,5,0,4,0,0,"train"
437,"white",0,23,0,0,0,1,5,1,1,"train"
438,"black",0,34,0,0,5,1,4,1,0,"test"
439,"black",0,30,0,0,2,1,1,0,0,"test"
440,"black",0,39,0,0,6,1,3,1,0,"train"
441,"other",0,24,0,0,0,1,3,0,0,"test"
442,"white",0,33,0,0,1,0,3,1,0,"test"
445,"white",0,58,0,0,2,1,3,0,0,"train"
446,"black",1,21,0,0,0,0,6,0,1,"train"
450,"black",0,21,0,0,1,1,5,0,1,"train"
451,"black",0,23,0,0,4,0,8,1,1,"train"
452,"white",0,62,0,0,0,1,1,0,0,"train"
454,"black",0,27,1,0,4,0,8,1,1,"train"
456,"white",0,37,0,0,5,1,3,0,0,"train"
457,"other",0,43,0,0,2,1,2,1,0,"train"
459,"black",1,32,0,0,5,1,1,0,0,"test"
461,"hispanic",0,23,0,0,0,1,3,0,0,"train"
462,"black",0,27,0,0,0,0,1,0,0,"train"
463,"white",0,44,0,0,0,0,1,1,0,"test"
464,"white",0,28,0,0,3,0,3,1,0,"test"
465,"white",1,42,0,0,0,1,2,0,0,"train"
467,"other",0,24,0,1,9,1,10,1,1,"train"
468,"black",0,27,0,0,0,1,2,0,0,"test"
469,"black",0,20,0,0,0,1,10,1,1,"test"
474,"white",1,51,0,0,0,0,1,0,0,"train"
475,"white",0,56,0,0,0,0,1,0,0,"train"
478,"black",0,29,0,0,7,1,9,0,1,"test"
480,"black",0,20,0,0,0,1,9,1,1,"train"
481,"white",0,53,0,0,6,1,1,0,0,"train"
484,"white",0,27,0,0,8,1,5,0,1,"test"
485,"black",0,24,0,1,2,1,9,1,1,"train"
487,"white",0,53,0,0,36,1,6,1,1,"train"
489,"white",0,28,0,0,2,0,3,1,0,"test"
493,"black",0,45,0,0,1,1,1,0,0,"train"
494,"hispanic",0,21,0,1,3,1,5,0,1,"train"
495,"black",1,36,0,0,0,1,7,0,1,"test"
496,"white",1,25,0,0,2,0,4,1,0,"test"
497,"hispanic",1,23,0,0,1,0,3,0,0,"train"
499,"white",0,28,0,0,1,1,5,0,1,"train"
500,"black",1,21,0,0,0,1,8,1,1,"test"
501,"white",0,36,0,0,0,0,3,0,0,"train"
502,"black",0,24,0,0,0,1,3,0,0,"train"
503,"black",0,28,0,0,3,1,6,1,1,"test"
504,"other",0,30,0,0,1,1,2,1,0,"train"
505,"black",0,29,0,0,0,1,1,0,0,"train"
509,"white",1,30,0,0,0,0,6,0,1,"train"
510,"hispanic",0,51,0,0,1,0,1,0,0,"train"
511,"other",0,33,0,0,3,1,1,0,0,"train"
512,"black",1,25,0,0,2,1,6,0,1,"train"
516,"black",0,32,0,1,12,1,9,1,1,"test"
517,"black",0,23,0,0,1,1,6,0,1,"train"
518,"black",0,47,0,0,3,1,3,0,0,"train"
521,"hispanic",1,32,0,0,1,1,3,1,0,"train"
522,"white",0,37,0,0,0,1,1,0,0,"train"
523,"black",0,19,0,2,2,1,10,1,1,"test"
524,"hispanic",0,27,0,0,0,0,8,0,1,"train"
525,"other",0,39,0,0,0,0,1,0,0,"train"
526,"white",1,21,0,0,0,1,6,0,1,"train"
527,"white",0,69,0,0,0,0,1,0,0,"test"
530,"white",0,21,0,0,2,1,6,0,1,"test"
531,"black",0,26,0,0,6,0,10,1,1,"train"
532,"white",0,22,0,0,0,1,4,0,0,"train"
533,"black",1,23,0,0,0,1,5,1,1,"test"
537,"black",0,49,0,0,3,1,5,0,1,"train"
538,"black",0,29,0,0,2,0,4,0,0,"train"
540,"white",1,60,0,0,0,0,1,0,0,"test"
541,"black",1,26,0,0,0,0,10,0,1,"train"
542,"black",0,23,2,0,3,1,10,1,1,"train"
543,"hispanic",0,34,0,0,2,0,5,1,1,"test"
545,"other",1,20,1,0,1,1,4,0,0,"train"
546,"hispanic",0,36,0,0,1,1,3,0,0,"train"
547,"white",0,30,0,0,0,1,4,0,0,"train"
548,"black",0,21,0,1,1,1,3,0,0,"train"
552,"white",0,22,0,0,2,0,6,1,1,"train"
553,"black",0,57,0,0,18,1,8,0,1,"train"
557,"black",0,21,0,0,4,1,9,1,1,"test"
558,"black",0,21,0,0,0,1,5,1,1,"train"
561,"white",0,34,0,0,1,0,1,0,0,"train"
563,"white",1,50,0,0,1,0,1,1,0,"test"
565,"white",0,40,0,0,0,1,7,1,1,"test"
566,"black",0,25,0,0,7,1,8,1,1,"train"
567,"white",1,53,0,0,1,0,1,0,0,"train"
569,"black",1,24,0,0,0,1,4,0,0,"test"
572,"black",0,42,0,0,1,1,1,0,0,"train"
573,"black",0,28,0,0,1,0,3,0,0,"test"
574,"white",0,24,0,0,1,0,4,0,0,"train"
576,"black",0,26,1,1,6,1,8,1,1,"test"
579,"black",0,22,0,0,4,1,9,1,1,"train"
580,"white",0,21,0,0,3,0,7,0,1,"test"
581,"black",0,37,0,0,23,1,9,1,1,"train"
584,"black",0,35,0,0,2,1,5,0,1,"train"
586,"black",0,53,0,0,2,1,1,0,0,"train"
587,"black",0,60,0,0,1,1,1,0,0,"train"
588,"black",0,29,0,0,7,1,4,0,0,"test"
590,"white",0,48,1,0,23,1,8,1,1,"train"
594,"white",1,52,0,0,0,0,1,0,0,"test"
597,"black",0,27,0,0,12,1,8,1,1,"test"
598,"black",0,28,0,0,5,1,9,0,1,"train"
599,"white",0,33,0,0,3,0,3,0,0,"train"
600,"hispanic",1,28,0,0,0,1,2,0,0,"train"
601,"white",0,47,0,0,5,1,10,1,1,"train"
602,"black",0,36,0,0,14,1,7,1,1,"train"
603,"black",0,29,1,0,2,1,5,0,1,"test"
604,"black",0,22,0,0,0,0,9,1,1,"test"
605,"black",0,26,0,0,6,1,7,0,1,"train"
608,"white",0,25,0,0,0,1,2,0,0,"test"
609,"white",0,68,0,0,2,1,1,0,0,"train"
611,"black",0,56,0,0,5,1,3,0,0,"train"
612,"black",0,27,0,0,9,1,8,1,1,"train"
613,"white",0,52,0,0,4,1,1,1,0,"test"
616,"black",0,32,0,0,3,1,2,0,0,"train"
617,"other",0,60,0,0,4,1,1,0,0,"train"
621,"hispanic",0,23,0,0,1,0,3,0,0,"test"
622,"white",1,39,0,0,0,0,6,0,1,"train"
623,"white",0,56,0,0,0,0,1,0,0,"test"
624,"black",1,22,0,0,0,1,7,0,1,"train"
625,"black",1,27,0,0,1,1,2,1,0,"train"
627,"black",0,53,0,0,11,1,6,0,1,"train"
628,"white",0,25,0,0,0,0,2,1,0,"train"
629,"hispanic",0,21,0,0,0,0,3,0,0,"test"
630,"white",0,22,0,0,0,1,3,0,0,"train"
633,"white",1,58,0,0,2,0,1,0,0,"train"
635,"black",0,31,0,0,7,0,3,1,0,"train"
637,"white",0,22,0,0,1,1,5,1,1,"train"
638,"black",0,28,0,0,8,1,6,1,1,"train"
639,"other",0,42,0,0,1,1,1,0,0,"train"
640,"black",0,20,0,0,0,1,7,1,1,"train"
641,"white",0,29,0,0,0,0,6,1,1,"test"
643,"black",0,29,0,0,8,1,10,0,1,"train"
644,"black",0,58,0,0,21,0,7,1,1,"train"
645,"black",0,22,0,0,3,1,7,0,1,"train"
646,"hispanic",0,48,0,0,1,0,1,1,0,"train"
647,"white",0,37,0,0,0,1,4,0,0,"test"
648,"black",0,57,0,0,1,1,5,1,1,"test"
649,"white",0,27,0,0,3,0,1,0,0,"train"
651,"black",0,26,0,0,3,1,4,0,0,"train"
653,"white",0,24,0,1,3,1,8,1,1,"test"
654,"white",0,33,0,0,0,1,1,0,0,"train"
656,"black",0,29,0,0,2,1,6,0,1,"train"
657,"black",1,24,0,0,3,1,10,1,1,"train"
659,"white",0,19,0,0,1,1,10,1,1,"train"
660,"white",0,36,0,0,2,0,1,0,0,"train"
662,"white",1,24,0,0,0,1,5,0,1,"train"
664,"white",0,34,0,0,0,0,1,0,0,"train"
668,"hispanic",0,25,0,0,2,1,5,1,1,"train"
669,"black",0,20,1,0,1,1,10,1,1,"test"
673,"hispanic",0,28,0,0,2,0,5,1,1,"train"
674,"black",0,24,0,0,1,0,2,1,0,"test"
675,"white",0,61,0,0,4,1,1,0,0,"test"
678,"black",1,50,0,0,3,1,2,0,0,"test"
679,"black",0,30,0,0,1,0,1,0,0,"train"
680,"black",0,38,0,0,5,1,3,0,0,"train"
681,"white",0,24,0,0,0,0,1,0,0,"test"
684,"black",0,45,0,0,16,1,2,0,0,"train"
685,"black",1,46,0,0,2,1,10,1,1,"train"
686,"white",0,41,0,0,0,0,1,1,0,"train"
687,"other",0,20,0,0,0,1,8,1,1,"train"
688,"black",0,27,0,0,13,0,8,1,1,"train"
689,"black",1,51,0,0,16,1,8,0,1,"test"
691,"black",0,26,0,0,1,0,6,1,1,"test"
692,"black",0,29,0,0,3,1,5,1,1,"test"
693,"white",0,52,0,0,6,1,5,1,1,"train"
694,"white",0,28,0,0,1,1,4,1,0,"train"
696,"native american",1,34,0,0,4,1,7,1,1,"test"
697,"black",0,55,0,0,5,1,3,1,0,"train"
700,"black",0,26,1,1,10,1,9,1,1,"train"
701,"black",0,28,0,0,5,1,10,0,1,"train"
703,"white",0,63,0,0,2,1,1,0,0,"train"
704,"black",0,42,0,0,0,1,1,0,0,"train"
707,"black",0,23,1,2,6,1,6,0,1,"train"
708,"black",0,54,0,0,28,1,9,1,1,"test"
709,"black",0,35,0,0,8,1,7,1,1,"train"
711,"black",1,24,1,0,6,1,9,1,1,"test"
712,"black",0,54,0,0,2,0,1,0,0,"train"
713,"black",0,58,0,0,12,0,6,1,1,"test"
715,"white",0,23,0,0,1,0,5,1,1,"train"
716,"black",0,35,0,0,1,0,2,0,0,"test"
718,"black",0,20,0,0,1,1,10,1,1,"train"
720,"white",0,51,0,0,0,1,1,0,0,"train"
721,"hispanic",0,24,0,0,0,1,10,0,1,"train"
722,"white",0,37,0,0,3,1,2,0,0,"train"
724,"white",0,47,0,0,3,1,1,0,0,"train"
726,"white",0,34,0,0,4,1,6,1,1,"test"
727,"white",0,56,0,0,0,1,1,0,0,"train"
728,"hispanic",0,34,0,0,4,1,1,1,0,"test"
729,"white",0,59,0,0,1,1,1,1,0,"train"
730,"asian",0,35,0,0,0,1,6,0,1,"test"
731,"hispanic",0,58,0,0,1,1,1,0,0,"test"
732,"hispanic",0,29,0,0,2,0,4,0,0,"train"
737,"white",1,24,0,0,6,1,9,1,1,"train"
738,"white",0,21,0,0,2,0,9,1,1,"test"
739,"black",0,26,0,0,2,0,9,0,1,"train"
740,"asian",0,50,0,0,5,1,7,1,1,"test"
743,"black",0,26,0,0,1,1,2,0,0,"test"
745,"white",1,30,0,0,0,0,2,0,0,"train"
750,"white",0,29,0,0,6,1,9,1,1,"train"
752,"white",0,29,0,0,0,0,4,1,0,"test"
753,"black",0,54,0,0,0,0,1,0,0,"train"
754,"black",0,29,0,0,4,1,4,1,0,"test"
756,"white",1,59,0,0,0,0,1,0,0,"train"
757,"black",0,38,0,0,0,1,5,0,1,"train"
758,"hispanic",1,22,0,0,2,1,5,1,1,"test"
760,"black",0,29,0,0,4,1,7,1,1,"test"
762,"white",0,27,0,0,1,0,3,1,0,"train"
763,"hispanic",0,26,0,0,7,1,5,1,1,"train"
764,"hispanic",0,52,0,0,20,1,3,0,0,"train"
765,"black",0,66,0,0,33,1,6,1,1,"train"
769,"white",0,27,0,0,2,1,5,0,1,"train"
770,"white",0,51,0,0,1,0,1,0,0,"train"
771,"white",0,35,0,0,1,1,2,0,0,"train"
774,"black",0,26,0,0,1,1,7,0,1,"train"
